"","Intensity","concentration"
"1",3507,0
"2",17450,0.351
"3",3473,0
"4",20734,0.351
"5",3412,0
"6",27375,0.351
"7",3406,0.0167
"8",32218,0.602
"9",3458,0.0167
"10",32609,0.602
"11",3513,0.0167
"12",32929,0.602
"13",3568,0.0376
"14",32545,0.925
"15",3561,0.0376
"16",30784,0.925
"17",3604,0.0376
"18",33451,0.925
"19",3708,0.0645
"20",39179,1.35
"21",3830,0.0645
"22",38944,1.35
"23",3897,0.0645
"24",37144,1.35
"25",4688,0.1
"26",40009,2.86
"27",4926,0.1
"28",37538,2.86
"29",5237,0.1
"30",35694,2.86
"31",7392,0.151
"32",43547,5.87
"33",7688,0.151
"34",40437,5.87
"35",7779,0.151
"36",39741,5.87
"37",12931,0.226
"38",39311,39
"39",14405,0.226
"40",39692,39
"41",15110,0.226
"42",37251,39
"43",3500,0
"44",24106,0.351
"45",41712,39
