"","pH","Intensity"
"1",2.75,-65
"2",6.83,33175
"3",2.75,100
"4",6.83,36789
"5",2.75,106
"6",6.83,36633
"7",3.27,-105
"8",7.39,52963
"9",3.27,-1
"10",7.39,58124
"11",3.27,11
"12",7.39,58570
"13",3.76,-114
"14",7.83,57169
"15",3.76,118
"16",7.83,64380
"17",3.76,109
"18",7.83,63169
"19",4.25,-126
"20",8.33,65915
"21",4.25,-26
"22",8.33,73524
"23",4.25,-7
"24",8.33,73743
"25",4.79,17
"26",8.83,63419
"27",4.79,118
"28",8.83,70490
"29",4.79,182
"30",8.83,70234
"31",5.36,353
"32",9.43,68732
"33",5.36,469
"34",9.43,75147
"35",5.36,499
"36",9.43,75516
"37",5.75,1180
"38",9.83,63477
"39",5.75,1455
"40",9.83,70164
"41",5.75,1537
"42",9.83,70884
"43",6.32,16976
"44",6.32,18697
"45",6.32,18408
